1031,field3,core3
1035,field2,Outside Temp
1035,field3,HVAC On/Off
1035,field1,Inside Temp
1043,field2,LDR_R
1043,field3,PIR
1043,field1,LDR_L
1050,field1,Temp
1057,field1,t1
1078,field6,Temperatura Sensor 6
1078,field1,Temperatura Sensor 1
1078,field7,Temperatura Sensor 7
1078,field2,Temperatura Sensor 2
1078,field4,Temperatura Sensor 4
1078,field3,Temperatura Sensor 3
1078,field5,Temperatura Sensor 5
1079,field2,Light
1079,field3,Celesco Extension
1079,field1,Temperature
1080,field1,?????? 1
1080,field2,?????? 2
1080,field4,?????? 4
1080,field3,?????? 3
1080,field5,?????? 5
1082,field8,Field Label 8
1082,field6,6
1082,field1,Field Label1
1082,field7,Field Label 7
1082,field2,2
1082,field4,4
1082,field3,3
1082,field5,5
1083,field1,Field Label1
1085,field1,USBTemp
1085,field2,CPU_PC
1085,field4,HDDTemp
1085,field3,MEMORY_PC
1085,field5,OnOff
1087,field1,Water Level
1088,field1,temp1
1088,field2,temp2
1088,field3,temp3
1089,field1,Engine battery voltage
1089,field2,Auxilliary battery voltage
1089,field4,Engine temperature
1089,field3,Solar panel current
1092,field1,Humidity
1099,field2,Another Bit of Info
1099,field1,Potentiometer Value
1104,field8,FanSpeed
1104,field6,DaikinIn
1104,field1,Outdoor
1104,field7,Incoming
1104,field2,Room
1104,field4,Servo
1104,field3,Heater
1104,field5,DaikinOut
1112,field2,temperature
1112,field3,extra
1112,field1,time
1118,field2,direcci
1118,field1,velocidad
1132,field1,Temperature
1135,field6,Humedad Sensor 6
1135,field1,Humedad Sensor 1
1135,field7,Humedad Sensor 7
1135,field2,Humedad Sensor 2
1135,field4,Humedad Sensor 4
1135,field3,Humedad Sensor 3
1135,field5,Humedad Sensor 5
1141,field8,Field Label 8
1141,field6,Field Label 6
1141,field1,Field Label 1
1141,field7,Field Label 7
1141,field2,Field Label 2
1141,field4,Field Label 4
1141,field3,Field Label 3
1141,field5,Field Label 5
1142,field1,Field Label1
1144,field1,Temperature
1159,field1,Field Label1
1161,field2,Temperatura
1161,field1,Umidade
1169,field1,bpm
1171,field2,Light Intensity
1171,field1,Temperature
1173,field2,Light Intensity
1173,field1,Temprature
1176,field2,Field Label 2
1176,field1,Indoor Temperature
1178,field1,KwH
1181,field1,Washing Machine On/Off
1184,field2,Humidity
1184,field3,Light
1184,field1,Temperature
1186,field1,HCHC
1186,field2,HCHP
1186,field4,INST
1186,field3,PTEC
1186,field5,PAPP
1190,field1,Current Wattage
1193,field2,Light
1193,field1,Temperature
1194,field8,Field8
1194,field6,Field6
1194,field1,MD_id
1194,field7,Field7
1194,field2,Sensor_id
1194,field4,Time
1194,field3,Date
1194,field5,Reading
1198,field2,Humidit
1198,field1,Temp
1213,field2,Field Label2
1213,field3,Field Label3
1213,field1,Field Label1
1223,field2,Zonnebak
1223,field3,Relais
1223,field1,Boiler
1225,field2,Temperature
1225,field1,Light Intensity
1228,field2,yy
1228,field3,zz
1228,field1,xx
1232,field1,button
1240,field6,pool hash rate low pass
1240,field1,gpu hash rate total
1240,field2,gpu hash rate at pool
1240,field4,temperature
1240,field3,rejected share
1240,field5,fan speed
1241,field8,direction
1241,field6,pressure
1241,field1,insideTemp
1241,field7,windchill
1241,field2,outsideTemp
1241,field4,visibility
1241,field3,speed
1241,field5,humidity
1247,field1,sensor1
1247,field2,sensor2
1247,field4,indoor
1247,field3,outsidetemp
1248,field1,Temp
1253,field2,Water Temp
1253,field3,LED Temp
1253,field1,PH
1256,field1,Tempo
1259,field1,GRADOS
1261,field2,MY ROBOT FIELD2
1261,field1,MY ROBOT FIELD1
1266,field8,L8
1266,field6,10000 * Voltios C1
1266,field1,60 * per
1266,field7,L7
1266,field2,Ohmios NTC
1266,field4,10000 * Voltios 2v5
1266,field3,10000 * Voltios C6
1266,field5,10000 * Voltios C0
1271,field1,Tipos
1271,field2,FH+C01C15
1271,field4,C32C47
1271,field3,C16C31
1271,field5,C48C63
1274,field2,pressure
1274,field1,outsideTemp
1279,field2,Mitte
1279,field1,Oben
1280,field1,Temperature
1280,field2,Humidity
1280,field4,Light
1280,field3,Pressure
1287,field1,Temperature
1292,field8,Field8
1292,field6,Field6
1292,field1,Field1
1292,field7,Field7
1292,field2,Field2
1292,field4,Field4
1292,field3,Field3
1292,field5,Field5
1293,field2,inside
1293,field3,outside
1298,field1,CPM
1301,field1,Energy (watts)
1306,field8,Kommentare
1306,field6,Spieler 1 Blau
1306,field1,Spiel ID
1306,field7,Spieler 2 Blau
1306,field2,Ergebnis Rot
1306,field4,Spieler 1 Rot
1306,field3,Ergebnis Blau
1306,field5,Spieler 2 Rot
1309,field1,Watt/ora 
1309,field2,Temperatura Esterna
1309,field4,Termostato piano terra
1309,field3,Temperatura Interna
1309,field5,Termostato piano primo
1312,field8,Pie1347
1312,field6,Pie1344-5
1312,field1,Pie1340
1312,field7,Pie1346
1312,field2,Pie1341
1312,field4,Pie1343
1312,field3,Pie1342
1312,field5,Pie1344
1313,field2,Luminosidad
1313,field1,Temperatura
1314,field1,temperature
1314,field2,high temp forecast
1314,field4,humidity
1314,field3,low temp forecast
1314,field5,wind
1316,field1,luminosidad
1317,field2,Total Power
1317,field1,Power
1318,field6,CSQ GSM Signal
1318,field1,Wind Direction
1318,field2,Mean Wind Speed
1318,field4,Temperature
1318,field3,Max Wind Speed
1318,field5,Battery Voltage
1321,field8,altimeter
1321,field6,visibility
1321,field1,temperature
1321,field7,msl pressure 
1321,field2,relative humidity
1321,field4,wind direction
1321,field3,wind speed
1321,field5,dewpoint
1330,field2,Bedroom Temp
1330,field1,Kitchen Temp
1332,field2,Fridge
1332,field1,Living Room
1333,field2,mem
1333,field4,ard
1333,field3,txt
1333,field1,cpu
1334,field1,gotMail
1336,field1,Temp
1337,field2,Total Power
1337,field1,Power / watts
1343,field1,Temperatura
1345,field1,heart beat
1346,field1,CPU Usage
1353,field1,montion_reading
1357,field8,Temp_Salon
1357,field6,Temp_Chambre
1357,field1,Hygro_Bureau
1357,field7,Temp_Externe
1357,field2,Hygro_Chambre
1357,field4,Hygro_Salon
1357,field3,Hygro_Externe
1357,field5,Temp_Bureau
1358,field1,Field Label1
1359,field2,Field Label 2
1359,field1,Field Label1
1365,field2,xxxxxx
1365,field1,Field Label1
1376,field1,Temperature
1381,field2,Temp2
1381,field1,Temp1
1384,field6,Air Temperature (Dublin) - Artane
1384,field1,Attic Air Temp
1384,field7,Humidity (Dublin) Google Weather
1384,field2,Attic Water Tank Temp
1384,field4,Attic Heater (ON/OFF)
1384,field3,Attic Humidity (%RH)
1384,field5,Outside Air Temp
1392,field8,Field Label 8
1392,field6,Field Label 6
1392,field1,my feed1
1392,field7,Field Label 7
1392,field2,Field Label 2
1392,field4,Field Label 4
1392,field3,Field Label 3
1392,field5,Field Label 5
1396,field1,Temp
1397,field2,outsideTemp
1397,field4,yesterdayRun
1397,field3,todayRun
1397,field1,insideTemp
1398,field2,outsideTemp
1398,field4,yesterdayRun
1398,field3,todayRun
1398,field1,insideTemp
1400,field2,outsideTemp
1400,field4,yesterdayRun
1400,field3,todayRun
1400,field1,insideTemp
1412,field1,Temp_Pulsion_frais
1412,field2,Temp_Aspiration_frais
1412,field4,Temp_Puit_Canadien
1412,field3,Temp_Pulsion_vicie
1412,field5,Temp_Aspiration_vicie
1415,field1,Jardin
1417,field2,CheerLights HEX Color
1417,field1,Last CheerLights Command
1421,field2,Temperature
1421,field1,Pressure
1422,field2,Temperature
1422,field3,Light level
1422,field1,Humidity
1424,field1,Pluie
1425,field2,Air Temp (Deg C)
1425,field3,Water Temp (Deg C)
1425,field1,Internal Temp (Deg C)
1428,field1,catflap opens
1442,field1,IP
1446,field1, T
1447,field1,Ext
1451,field1,Field Label1
1452,field1,temp
1460,field2,Campo2
1460,field3,Campo3
1460,field1,Campo1
1462,field2,field2
1462,field3,field3
1462,field1,field1
1463,field1,an0
1465,field2,LIGHT
1465,field1,TEMPERATURE
1467,field2,Temp. skab
1467,field1,Temp. k
1473,field2,Field 2
1473,field1,Field Label1
1476,field1,senzor1
1478,field2,Field Label2
1478,field1,Field Label1
1479,field6,outside
1479,field1,woodburner
1479,field7,downstairs
1479,field2,humidity
1479,field4,watertank
1479,field3,bckrmstack
1479,field5,preheat
1485,field8,Field Label 8
1485,field6,Field Label 6
1485,field1,Temperature 1
1485,field7,Field Label 7
1485,field2,Temperature 2
1485,field4,Field Label 4
1485,field3,Temperature 3
1485,field5,Field Label 5
1487,field1,Kw
1493,field1,run-hours
1501,field6,Field Label 6
1501,field1,Field Label 1
1501,field2,Field Label 2
1501,field4,Field Label 4
1501,field3,Field Label 3
1501,field5,Field Label 5
1506,field1,Field Label1
1509,field2,light
1509,field4,read-error
1509,field3,volt
1509,field1,temp
1510,field8,Field Label 8
1510,field6,Field Label 6
1510,field1,Field Label 1
1510,field7,Field Label 7
1510,field2,Field Label 2
1510,field4,Field Label 4
1510,field3,Field Label 3
1510,field5,Field Label 5
1515,field2,Light Intensity
1515,field1,Temperature
1519,field1,test
1531,field6,Mobile Humidity
1531,field1,Temperature 
1531,field2,Mobile Temperature 
1531,field4,24 Hour Humidity
1531,field3,test
1531,field5,20 Minute Humidity
1533,field2,LED13
1533,field3,POT
1533,field1,OUT
1536,field1,field1
1536,field2,field2
1536,field4,field4
1536,field3,field3
1536,field5,field5
1538,field2,Humidity
1538,field3,PIR
1538,field1,Temperature
1558,field2,Temp
1558,field4,Bar
1558,field3,O3
1558,field1,pH
1563,field1,Field Label1
1566,field1,Temp
1569,field2,Ambient Temp
1569,field1,Tank Temp
1570,field1,Field Label1
1579,field1,Oyentes
1592,field2,Analog 1
1592,field1,Digital 1
1593,field1,Temperatur
1596,field1,Field Label1
1597,field2,Licht
1597,field1,Temperatuur
1599,field1,Vent
1609,field8,Rome temp
1609,field6,DigitalIn2
1609,field1,AnalogIn1
1609,field7,DigitalIn3
1609,field2,AnalogIn2
1609,field4,AnalogIn4
1609,field3,AnalogIn3
1609,field5,DigitalIn1
1610,field1,Analog0
1617,field2,Light
1617,field1,Temp
1618,field1,Temperature
1618,field2,Relative Humidity
1618,field3,Light Intensity
1619,field2,light
1619,field3,gas
1619,field1,temperature
1625,field2,Outside Temperature
1625,field1,Inside Temperature
1630,field1,numCan+Tip
1630,field2,F+C01-C15
1630,field4,C32-C47
1630,field3,C16-C31
1630,field5,C48-C63
